,Level_in,Flow_gpm
972,1.806,252.423372472
973,1.807,252.733155328
974,1.808,253.043123257
975,1.81,253.663614216
976,1.811,253.974137185
977,1.812,254.284845108
978,1.814,254.906815692
979,1.815,255.218078294
980,1.818,256.152974975
981,1.82,256.77716319
982,1.822,257.402090133
983,1.823,257.714830551
984,1.824,258.027755559
985,1.825,258.340865129
986,1.826,258.654159228
987,1.829,259.595148403
988,1.83,259.909180318
989,1.832,260.537797253
990,1.833,260.852382211
991,1.835,261.482104955
992,1.836,261.79724268
993,1.838,262.428070683
994,1.839,262.7437609
995,1.84,263.05963522
996,1.841,263.375693611
997,1.842,263.691936044
998,1.845,264.641767281
999,1.849,265.91078364
1000,1.85,266.228497293
1001,1.851,266.546394711
1002,1.852,266.864475861
1003,1.854,267.501189235
1004,1.856,268.13863717
1005,1.861,269.735469073
1006,1.867,271.657719948
1007,1.868,271.978736599
1008,1.87,272.62131948
1009,1.871,272.942885648
1010,1.872,273.264634926
1011,1.875,274.230981103
1012,1.876,274.553462506
1013,1.878,275.198974138
1014,1.879,275.522004305
1015,1.88,275.845217329
1016,1.883,276.815953237
1017,1.884,277.139897379
1018,1.885,277.464024221
1019,1.886,277.788333732
1020,1.887,278.112825881
1021,1.888,278.437500634
1022,1.894,280.389382094
1023,1.896,281.041468652
1024,1.898,281.694284489
1025,1.899,282.020965806
1026,1.9,282.347829348
1027,1.901,282.674875082
1028,1.902,283.002102975
1029,1.903,283.329512997
1030,1.905,283.984879297
1031,1.912,286.284393674
1032,1.92,288.923317905
1033,1.921,289.254000746
1034,1.923,289.915910948
1035,1.926,290.910137064
1036,1.928,291.573861307
1037,1.93,292.238310712
1038,1.931,292.570807269
1039,1.932,292.903485019
1040,1.933,293.23634393
1041,1.934,293.569383969
1042,1.935,293.902605104
1043,1.936,294.236007302
1044,1.937,294.569590531
1045,1.943,296.574889714
1046,1.944,296.909739242
1047,1.947,297.915372309
1048,1.949,298.586697764
1049,1.95,298.922631415
1050,1.951,299.258745639
1051,1.956,300.942024196
1052,1.957,301.279221165
1053,1.959,301.954156096
1054,1.96,302.291893992
1055,1.961,302.629812132
1056,1.963,303.306189009
1057,1.964,303.64464768
1058,1.966,304.322105323
1059,1.97,305.679180884
1060,1.973,306.69887675
1061,1.975,307.379573114
1062,1.977,308.060988463
1063,1.981,309.425975053
1064,1.982,309.76767065
1065,1.983,310.10954576
1066,1.984,310.45160035
1067,1.985,310.793834387
1068,1.986,311.136247837
1069,1.987,311.478840666
1070,1.99,312.507695096
1071,1.992,313.194494335
1072,1.994,313.882010288
1073,1.995,314.226036949
1074,1.996,314.570242688
1075,1.999,315.603934038
1076,2.0,315.948855754
1077,2.001,316.293956379
1078,2.002,316.639235882
1079,2.003,316.984694226
1080,2.005,317.676147309
1081,2.008,318.714667412
1082,2.009,319.061198105
1083,2.01,319.407907405
1084,2.011,319.754795278
1085,2.012,320.10186169
1086,2.013,320.449106607
1087,2.014,320.796529995
1088,2.015,321.144131821
1089,2.016,321.491912051
1090,2.019,322.536322822
1091,2.02,322.884816327
1092,2.023,323.931366112
1093,2.025,324.629956686
1094,2.026,324.979519086
1095,2.03,326.379548648
1096,2.031,326.730000858
1097,2.033,327.431438824
1098,2.034,327.782424512
1099,2.037,328.836447982
1100,2.038,329.188144494
1101,2.039,329.540018627
1102,2.041,330.244299618
1103,2.042,330.596706408
1104,2.044,331.302052404
