Station Name,model and version,XL2 S/N,,
LakeHodges_KITCARSON,Sutron XLink 500 Version 8.28 Build  8:19:24 10/11/2019 revision 3127,1911373,,
Label,Meas Type,Slope,Offset,Equation
PT Level,2/7/2020,1:09:00,3.58,G
PT Level,2/7/2020,1:10:00,3.58,G
Flow_cfs,2/7/2020,1:10:00,27.83,G
FlowVolume,2/7/2020,1:10:00,1669.6,G
PT Level,2/7/2020,1:11:00,3.58,G
PT Level,2/7/2020,1:12:00,3.58,G
PT Level,2/7/2020,1:13:00,3.58,G
PT Level,2/7/2020,1:14:00,3.58,G
PT Level,2/7/2020,1:15:00,3.58,G
Flow_cfs,2/7/2020,1:15:00,27.83,G
FlowVolume,2/7/2020,1:15:00,1669.6,G
PT Level,2/7/2020,1:16:00,3.58,G
PT Level,2/7/2020,1:17:00,3.58,G
PT Level,2/7/2020,1:18:00,3.58,G
PT Level,2/7/2020,1:19:00,3.62,G
PT Level,2/7/2020,1:20:00,3.58,G
Flow_cfs,2/7/2020,1:20:00,27.83,G
FlowVolume,2/7/2020,1:20:00,1669.6,G
PT Level,2/7/2020,1:21:00,3.58,G
PT Level,2/7/2020,1:22:00,3.58,G
PT Level,2/7/2020,1:23:00,3.58,G
PT Level,2/7/2020,1:24:00,3.58,G
PT Level,2/7/2020,1:25:00,3.58,G
Flow_cfs,2/7/2020,1:25:00,27.83,G
FlowVolume,2/7/2020,1:25:00,1669.6,G
PT Level,2/7/2020,1:26:00,3.58,G
PT Level,2/7/2020,1:27:00,3.58,G
PT Level,2/7/2020,1:28:00,3.58,G
PT Level,2/7/2020,1:29:00,3.58,G
PT Level,2/7/2020,1:30:00,3.58,G
Flow_cfs,2/7/2020,1:30:00,27.83,G
FlowVolume,2/7/2020,1:30:00,1669.6,G
PT Level,2/7/2020,1:31:00,3.58,G
PT Level,2/7/2020,1:32:00,3.58,G
PT Level,2/7/2020,1:33:00,3.58,G
PT Level,2/7/2020,1:34:00,3.58,G
PT Level,2/7/2020,1:35:00,3.58,G
Flow_cfs,2/7/2020,1:35:00,27.83,G
